Season,Episode,Character1,Character2,Dialogue
1,1,BURNHAM,GEORGIOU,But now we're really lost. We're far too small to be seen with the naked eye. And you can't set a course without a star. Is it wise to be heading away from the village? It's hard to imagine you've served under me for seven years. I think it's time that we talked about you having your own command.
1,1,GEORGIOU,BURNHAM,"It's hard to imagine you've served under me for seven years. I think it's time that we talked about you having your own command. I'm grateful, Captain. Though I would be significantly more so if I thought we had any chance of ever returning to the ship."
1,1,BURNHAM,GEORGIOU,"I'm grateful, Captain. Though I would be significantly more so if I thought we had any chance of ever returning to the ship. Just keep walking, Michael. What will you do if you were stuck here for 89 years?"
1,1,GEORGIOU,BURNHAM,"Just keep walking, Michael. What will you do if you were stuck here for 89 years? A likely scenario unless we die here in the desert."
1,1,BURNHAM,GEORGIOU,A likely scenario unless we die here in the desert. But say you lived.
1,1,GEORGIOU,BURNHAM,"But say you lived. As a xenoanthropologist, I could reveal myself to the natives, learn their culture, try to fit in, if possible. And you, Captain? What will you do if we're trapped here for 89 years?"
1,1,BURNHAM,GEORGIOU,"As a xenoanthropologist, I could reveal myself to the natives, learn their culture, try to fit in, if possible. And you, Captain? What will you do if we're trapped here for 89 years? That's easy. I'd escape."
1,1,GEORGIOU,BURNHAM,That's easy. I'd escape. These are our footprints. You've walked us in a circle.
1,1,BURNHAM,GEORGIOU,These are our footprints. You've walked us in a circle. Not exactly a circle.
1,1,GEORGIOU,BURNHAM,Not exactly a circle. How did they find us?
1,1,BURNHAM,GEORGIOU,How did they find us? I set a star.
1,1,GEORGIOU,BURNHAM,"I set a star. First Officer's Log, Stardate 1207.3. On Earth, it's May 11th, 2256. A Sunday. The crew of the USS Shenzhou has been called to the edge of Federation space to investigate damage done to one of our interstellar relays. Blast burns around the hole are inconclusive. Were they caused by an asteroid, or was it deliberately destroyed to limit Starfleet communications? And if so, by whom? Despite the risks of our mission, I remain optimistic. It's hard not to be in the face of such beauty. In this case, a binary star system. Around these two suns, ice, dust and gasses collide to form the planets future generations will call home. A humbling reminder that all life is born from chaos and destruction."
1,1,BURNHAM,GEORGIOU,"Finish your scans so you can express facts instead. The bridge is yours, Mister Saru. Yes, Number One."
1,1,GEORGIOU,BURNHAM,"Yes, Number One. Your Chief Science Officer is worried. Something took a bite out of our relay. Saru thinks it was malicious."
1,1,BURNHAM,GEORGIOU,"By all indications, nothing intelligent. But?"
1,1,GEORGIOU,BURNHAM,"But? Starfleet's reputation for tech hygiene is exemplary. When a relay goes down, the Federation sends a ship to fix it."
1,1,BURNHAM,GEORGIOU,"Starfleet's reputation for tech hygiene is exemplary. When a relay goes down, the Federation sends a ship to fix it. You think someone's trying to get our attention?"
1,1,GEORGIOU,BURNHAM,"You think someone's trying to get our attention? If they are, they have."
1,1,BURNHAM,GEORGIOU,"If they are, they have. Lieutenant Saru, what do we have?"
1,1,GEORGIOU,BURNHAM,"I'm shocked as well. Ensign Connor, agreement between my senior officers. Note the date and time. Is this amount of sarcasm always necessary?"
1,1,BURNHAM,GEORGIOU,"Is this amount of sarcasm always necessary? Necessary, no. But I do like it."
1,1,GEORGIOU,BURNHAM,"Number One? Range is 2,000 kilometres. Bearing 358 mark 269. Roughly 150 metres long, tucked into that accretion disk almost directly below us. It's in a sensor dead zone. Some kind of scattering field is confounding the ship's ability to translate the image."
1,1,BURNHAM,GEORGIOU,"Range is 2,000 kilometres. Bearing 358 mark 269. Roughly 150 metres long, tucked into that accretion disk almost directly below us. It's in a sensor dead zone. Some kind of scattering field is confounding the ship's ability to translate the image. Thoughts, Number One?"
1,1,GEORGIOU,BURNHAM,"Thoughts, Number One? With such little data, I'd prefer not to speculate."
1,1,BURNHAM,GEORGIOU,"With such little data, I'd prefer not to speculate. Hiding, but maybe hoping to be found."
1,1,GEORGIOU,BURNHAM,"Hiding, but maybe hoping to be found. Here we are, speculating."
1,1,BURNHAM,GEORGIOU,"Here we are, speculating. I'm not sure we have much choice. We can't lock on to it, and we don't have a shuttle maneuverable enough to navigate the ring."
1,1,GEORGIOU,BURNHAM,"I'm not sure we have much choice. We can't lock on to it, and we don't have a shuttle maneuverable enough to navigate the ring. I'll go. All I need is a thruster pack."
1,1,BURNHAM,GEORGIOU,"You do understand that being afraid of everything means you learn nothing. There's no opportunity to discover, to explore. You're both right. Saru, go with her."
1,1,GEORGIOU,BURNHAM,"You're both right. Saru, go with her. Best to keep variables to a minimum. I wouldn't want to put my colleague at risk."
1,1,BURNHAM,GEORGIOU,"Best to keep variables to a minimum. I wouldn't want to put my colleague at risk. And you, Mister Saru? Are you equally happy not to be put at risk?"
1,1,GEORGIOU,BURNHAM,"You realise, once you reach that scattering field, you could be cut off from all communication. We've come all this way, Captain. It would be irresponsible to leave whatever that is unknown."
1,1,BURNHAM,GEORGIOU,"We've come all this way, Captain. It would be irresponsible to leave whatever that is unknown. Just a flyby."
1,1,GEORGIOU,BURNHAM,Just a flyby. Just a flyby.
1,1,BURNHAM,COMPUTER,Just a flyby. Commencing airlock depressurisation sequence.
1,1,COMPUTER,BURNHAM,Commencing airlock depressurisation sequence. This is Commander Burnham. Commencing reconnaissance mission to field void and unknown object. Data collection is on and nominal. All lights are green.
1,1,BURNHAM,DETMER,This is Commander Burnham. Commencing reconnaissance mission to field void and unknown object. Data collection is on and nominal. All lights are green. Confirming six second directional thrust for saucer realignment.
1,1,DETMER,COMPUTER,Confirming six second directional thrust for saucer realignment. Commencing final prelaunch system checks. Life support nominal. Oxygen nitrogen saturation nominal. Air pressure and flow nominal. Communication module active. Filters at 0.01% saturation.
1,1,COMPUTER,BURNHAM,"Commencing final prelaunch system checks. Life support nominal. Oxygen nitrogen saturation nominal. Air pressure and flow nominal. Communication module active. Filters at 0.01% saturation. Computer, enable igniter."
1,1,BURNHAM,COMPUTER,"Computer, enable igniter. Ten seconds to thruster ignition. Ten, nine, eight, seven, six, five, four, three, two, one."
1,1,COMPUTER,GEORGIOU,"Ten seconds to thruster ignition. Ten, nine, eight, seven, six, five, four, three, two, one. She's having fun."
1,1,GEORGIOU,DETMER,"She's having fun. Almost to the debris field, Captain."
1,1,DETMER,GEORGIOU,"Almost to the debris field, Captain. Understood. Michael, watch your time."
1,1,GEORGIOU,BURNHAM,"Understood. Michael, watch your time. Aye, Captain."
1,1,BURNHAM,GEORGIOU,"Aye, Captain. Boost signal."
1,1,GEORGIOU,DETMER,"Boost signal. Mission clock at 17 minutes, 30 seconds."
1,1,DETMER,BURNHAM,"Mission clock at 17 minutes, 30 seconds. Shenzhou, do you copy?"
1,1,BURNHAM,COMPUTER,"Shenzhou, do you copy? Distance to object 1,000 kilometers and closing."
1,1,COMPUTER,BURNHAM,"Distance to object 1,000 kilometers and closing. Shenzhou, do you copy?"
1,1,BURNHAM,COMPUTER,"Shenzhou, do you copy? Implementing automatic course correction."
1,1,COMPUTER,BURNHAM,"Implementing automatic course correction. Hello. Shenzhou, are you able to see this?"
1,1,BURNHAM,GEORGIOU,"Hello. Shenzhou, are you able to see this? Michael, can you hear me? Acknowledge. Michael, can you hear me? Acknowledge."
1,1,GEORGIOU,BURNHAM,"Michael, can you hear me? Acknowledge. Michael, can you hear me? Acknowledge. Shenzhou, do you copy? Data Collection Unit, are you there?"
1,1,BURNHAM,COMPUTER,"Shenzhou, do you copy? Data Collection Unit, are you there? Internal computer on line."
1,1,COMPUTER,BURNHAM,Internal computer on line. Good. Mission time?
1,1,BURNHAM,COMPUTER,"Good. Mission time? 12 minutes, 58 seconds."
1,1,COMPUTER,BURNHAM,"12 minutes, 58 seconds. Plenty of time to take a peek. Even from this distance, it's clearly not debris."
1,1,BURNHAM,DETMER,"Plenty of time to take a peek. Even from this distance, it's clearly not debris. The Commander is less than ten metres from the outermost edge of the scattering field."
1,1,DETMER,BURNHAM,"The Commander is less than ten metres from the outermost edge of the scattering field. I can't remember who said sculptures are crystallized spirituality. Headlamp. But I see what they meant. This is Burnham in the blind. I'm above the object, which is old. Centuries old. It's difficult to tell if it was constructed or carved. The only word to effectively describe it is wow. But I'll try to be more precise. Its surface has the appearance of stone with an exoskeleton of metal alloy. Oh, incredibly intricate. The construction and design are nothing short of astounding. I wish you could see what I'm seeing. It is sublime. It's impossible to discern a practical purpose. I'm going to land on it, get a closer look. Nice and easy. Hold on. My presence has triggered some sort of motion response."
1,1,BURNHAM,COMPUTER,"I can't remember who said sculptures are crystallized spirituality. Headlamp. But I see what they meant. This is Burnham in the blind. I'm above the object, which is old. Centuries old. It's difficult to tell if it was constructed or carved. The only word to effectively describe it is wow. But I'll try to be more precise. Its surface has the appearance of stone with an exoskeleton of metal alloy. Oh, incredibly intricate. The construction and design are nothing short of astounding. I wish you could see what I'm seeing. It is sublime. It's impossible to discern a practical purpose. I'm going to land on it, get a closer look. Nice and easy. Hold on. My presence has triggered some sort of motion response. Mission countdown, ten minutes, 15 seconds. Warning. Proximity alert."
1,1,COMPUTER,BURNHAM,Scanning for database recognition. Iconography confirmed. Klingon. I'm Commander Burnham of the United Federation of Planets.
1,1,BURNHAM,DETMER,I'm Commander Burnham of the United Federation of Planets. Still no sign of Commander Burnham. Mission clock runs out in 15 seconds.
1,1,DETMER,GEORGIOU,"Still no sign of Commander Burnham. Mission clock runs out in 15 seconds. Transporter Control. Do we have her, Mister Weeton?"
1,1,GEORGIOU,NARWANI,You better get me a signal. Remotely fire her jetpack. She's offline.
1,1,NARWANI,GEORGIOU,She's offline. Engineering. Tractor beam?
1,1,GEORGIOU,DETMER,Engineering. Tractor beam? She'll soon exhibit symptoms of acute radiation syndrome.
1,1,DETMER,GEORGIOU,She'll soon exhibit symptoms of acute radiation syndrome. Hang on.
1,1,GEORGIOU,COMPUTER,Hang on. Pupil Burnham. Pupil Burnham. Klingon social order rests upon?
1,1,COMPUTER,BURNHAM,Pupil Burnham. Pupil Burnham. Klingon social order rests upon? Inviolable honour-shame dynamic.
1,1,BURNHAM,COMPUTER,Inviolable honour-shame dynamic. Correct. Klingon homeworld Qo'noS.
1,1,COMPUTER,BURNHAM,Correct. Klingon homeworld Qo'noS. Unwelcoming to the Federation.
1,1,BURNHAM,COMPUTER,Unwelcoming to the Federation. Correct. Klingon political order.
1,1,COMPUTER,BURNHAM,Correct. Klingon political order. Twenty four great Houses.
1,1,BURNHAM,COMPUTER,Twenty four great Houses. Correct. Location of the most recent Klingon terror raid. Unacceptable duration between query and correct response. Number of survivors at the Human-Vulcan science outpost at Doctari Alpha.
1,1,COMPUTER,BURNHAM,Unacceptable duration between query and correct response. Number of survivors at Doctari Alpha. No.
1,1,BURNHAM,COMPUTER,No. Unacceptable response. Number of survivors
1,1,COMPUTER,BURNHAM,Unacceptable response. Number of survivors Please. Stop!
1,1,BURNHAM,COMPUTER,Please. Stop! Program paused.
1,1,COMPUTER,BURNHAM,Program paused. Sarek. I'm sorry. I can do better.
1,1,BURNHAM,COMPUTER,Three hours? Antiproton therapy regimen incomplete.
1,1,COMPUTER,BURNHAM,Session terminated prematurely. Medical Emergency. There's no time.
1,1,BURNHAM,DETMER,There's no time. The binaries are kicking off serious QEs up and down the spectrum.
1,1,DETMER,GEORGIOU,"The binaries are kicking off serious QEs up and down the spectrum. I want to know what's out there, people."
1,1,GEORGIOU,BURNHAM,"I want to know what's out there, people. What's going on?"
1,1,BURNHAM,GEORGIOU,"What's going on? Number One, you should be in Sickbay."
1,1,GEORGIOU,BURNHAM,"Number One, you should be in Sickbay. What Have they made contact?"
1,1,BURNHAM,GEORGIOU,What Have they made contact? Who's they?
1,1,GEORGIOU,BURNHAM,Who's they? There are Klingons out there. We need to go to red alert.
1,1,BURNHAM,GEORGIOU,There are Klingons out there. We need to go to red alert. Michael. Almost no one has seen a Klingon in a hundred years.
1,1,GEORGIOU,BURNHAM,Michael. Almost no one has seen a Klingon in a hundred years. I have. One attacked me on that object. Check my helmet cam.
1,1,BURNHAM,GEORGIOU,I have. One attacked me on that object. Check my helmet cam. The footage was corrupted.
1,1,BURNHAM,GEORGIOU,"I am not delusional. This has nothing to do with a concussion. Philippa, there are Klingons. Red alert. Tell me what happened."
1,1,GEORGIOU,BURNHAM,"This is Federation space. Retreat is not an option. Whatever is over there needs to show itself. If it's hiding Klingons, we've got to flush them out. Target phase cannons on the object."
1,1,BURNHAM,GEORGIOU,I didn't say anything about destroying it. Let's make them think we're going to attack. Target the object.
1,1,GEORGIOU,BURNHAM,Target the object. Wait.
1,1,BURNHAM,GEORGIOU,"Wait. Then where did they come from? Mister Gant, disengage phase-cannon targeting. Number One, get to Sickbay. I need you fixed up and back on the bridge, stat. Mister Januzzi, contact Starfleet Command. Send an encoded message. Tell them we have engaged the Klingons."
1,1,GEORGIOU,BURNHAM,"Then where did they come from? Mister Gant, disengage phase-cannon targeting. Number One, get to Sickbay. I need you fixed up and back on the bridge, stat. Mister Januzzi, contact Starfleet Command. Send an encoded message. Tell them we have engaged the Klingons. Any response?"
1,1,BURNHAM,GEORGIOU,"I'm afraid that's no longer possible. The Klingon flagship has a stealth mode. It's some kind of cloaking screen, unlike anything we've ever seen, Admiral. There may be more vessels out there than we know. We've reached out with every form of friendship greeting Starfleet has. They're blocking our hails."
1,1,GEORGIOU,BURNHAM,"You remember my First Officer, Michael Burnham? Admiral, if I may. The ideal outcome for any Klingon interaction is battle. They're relentlessly hostile, sir. It's in their nature."
1,1,BURNHAM,GEORGIOU,"With respect, it would be unwise to confuse race and culture. Understood, Admiral."
1,1,GEORGIOU,COMPUTER,"Understood, Admiral. Signal terminated."
1,1,COMPUTER,GEORGIOU,Signal terminated. That went well. What's the mood outside?
1,1,GEORGIOU,BURNHAM,"There is a space station at Eagle Twelve, three light years away. The Andorian colony at Gamma-Hydra is six. Shenzhou is their only line of defense if the Klingons attack. Not if. When."
1,1,BURNHAM,GEORGIOU,Not if. When. I have to hope that whatever happens here can serve as a bridge between our civilisations.
1,1,GEORGIOU,BURNHAM,I have to hope that whatever happens here can serve as a bridge between our civilisations. That's the diplomat in you talking. What does the soldier say?
1,1,BURNHAM,GEORGIOU,That's the diplomat in you talking. What does the soldier say? Nothing good.
1,1,GEORGIOU,BURNHAM,Is that a weapon? It seems to be some sort of signal emitter.
1,1,BURNHAM,GEORGIOU,It seems to be some sort of signal emitter. Where are my filters?
1,1,GEORGIOU,DETMER,Where are my filters? Adjusting orientation to minimise dispersal.
1,1,DETMER,GEORGIOU,Adjusting orientation to minimise dispersal. Somebody turn it down.
1,1,GEORGIOU,BURNHAM,All the way down. It's a signal pulse.
1,1,BURNHAM,GEORGIOU,It's a signal pulse. Is there a message?
1,1,GEORGIOU,BURNHAM,"Is there a message? This may be the message. Captain, what if they're calling for the same thing we are? Backup."
1,1,BURNHAM,GEORGIOU,"This may be the message. Captain, what if they're calling for the same thing we are? Backup. Long-range sensors to the maximum, Saru. If more Klingons are on their way, I want as much notice as possible."
1,1,GEORGIOU,BURNHAM,"Long-range sensors to the maximum, Saru. If more Klingons are on their way, I want as much notice as possible. Permission to leave the bridge, Captain?"
1,1,BURNHAM,GEORGIOU,"Permission to leave the bridge, Captain? Are you kidding?"
1,1,GEORGIOU,BURNHAM,Are you kidding? It's relevant.
1,1,BURNHAM,GEORGIOU,"It's relevant. Granted. Ensign, get me a status report, deck by deck."
1,1,GEORGIOU,BURNHAM,"Granted. Ensign, get me a status report, deck by deck. Computer."
1,1,BURNHAM,COMPUTER,Computer. Working.
1,1,COMPUTER,BURNHAM,Working. Open dedicated subspace channel 222AA7.
1,1,BURNHAM,COMPUTER,Open dedicated subspace channel 222AA7. Use of this frequency requires diplomatic authorisation.
1,1,COMPUTER,BURNHAM,"Use of this frequency requires diplomatic authorisation. Voiceprint authorise. Burnham, Michael."
1,1,BURNHAM,COMPUTER,"Voiceprint authorise. Burnham, Michael. Confirmed."
1,1,COMPUTER,BURNHAM,"Confirmed. Hello, Sarek. I'm happy to see you."
1,1,BURNHAM,GEORGIOU,"Tell me. How did you keep the Klingons at bay? Engineering, report."
1,1,GEORGIOU,BURNHAM,"Engineering, report. Captain, we have to fire on them. Hit that ship with everything we've got."
1,1,BURNHAM,GEORGIOU,"Captain, we have to fire on them. Hit that ship with everything we've got. Absolutely not. They haven't powered weapons. They don't appear to pose an imminent threat."
1,1,GEORGIOU,BURNHAM,Absolutely not. They haven't powered weapons. They don't appear to pose an imminent threat. The Klingon threat is always imminent and inevitable.
1,1,BURNHAM,GEORGIOU,"The Klingon threat is always imminent and inevitable. Thank you, Mister Gant. I'd like to remind you, we're wildly outgunned."
1,1,GEORGIOU,BURNHAM,"Thank you, Mister Gant. I'd like to remind you, we're wildly outgunned. 240 years ago, near H'Atoria, a Vulcan ship crossed into Klingon space. The Klingons attacked immediately. They destroyed the vessel. Vulcans don't make the same mistake twice. From then on, until formal relations were established, whenever the Vulcans crossed paths with Klingons, the Vulcans fired first. They said hello in a language the Klingons understood. Violence brought respect. Respect brought peace. Captain, we have to give the Klingons a Vulcan hello."
1,1,BURNHAM,GEORGIOU,"240 years ago, near H'Atoria, a Vulcan ship crossed into Klingon space. The Klingons attacked immediately. They destroyed the vessel. Vulcans don't make the same mistake twice. From then on, until formal relations were established, whenever the Vulcans crossed paths with Klingons, the Vulcans fired first. They said hello in a language the Klingons understood. Violence brought respect. Respect brought peace. Captain, we have to give the Klingons a Vulcan hello. If their intention is to attack, balling up our fists won't dissuade them."
1,1,GEORGIOU,BURNHAM,"If their intention is to attack, balling up our fists won't dissuade them. It would be logical for you to take into account my success rate during our seven years together, and execute my plan without further challenge before we're dragged into war."
1,1,BURNHAM,GEORGIOU,"It would be logical for you to take into account my success rate during our seven years together, and execute my plan without further challenge before we're dragged into war. Starfleet doesn't fire first. That's all, Number One."
1,1,GEORGIOU,BURNHAM,"Starfleet doesn't fire first. That's all, Number One. We have to."
1,1,BURNHAM,GEORGIOU,"We have to. In my Ready room. Now. Lieutenant Commander, you have the Bridge."
1,1,GEORGIOU,BURNHAM,"Computer, privacy. Captain"
1,1,BURNHAM,GEORGIOU,Captain How dare you challenge me?
1,1,GEORGIOU,BURNHAM,How dare you challenge me? I apologise for my insubordination.
1,1,BURNHAM,GEORGIOU,I apologise for my insubordination. Don't you realise that kind of talk can destabilise a crew?
1,1,GEORGIOU,BURNHAM,Don't you realise that kind of talk can destabilise a crew? Don't underestimate them. I've overseen their exercises. They're ready for battle.
1,1,BURNHAM,GEORGIOU,"Don't underestimate them. I've overseen their exercises. They're ready for battle. Battle is not a simulation. It's blood and screams and funerals. I taught you better than this. We don't start shooting on a hunch, and we don't take innocent lives. Period. I understand your history with the Klingons."
1,1,GEORGIOU,BURNHAM,"Battle is not a simulation. It's blood and screams and funerals. I taught you better than this. We don't start shooting on a hunch, and we don't take innocent lives. Period. I understand your history with the Klingons. My commitment to this course of action is not emotional. We target its neck, cut off its head"
1,1,BURNHAM,GEORGIOU,"My commitment to this course of action is not emotional. We target its neck, cut off its head You're still injured. You're not thinking clearly."
1,1,GEORGIOU,BURNHAM,You're still injured. You're not thinking clearly. Thousands of lives will be lost because of failure to act.
1,1,BURNHAM,GEORGIOU,Thousands of lives will be lost because of failure to act. Whose lives? Victims of your imaginary war?
1,1,GEORGIOU,BURNHAM,"Whose lives? Victims of your imaginary war? And your life, Captain. Yours."
1,1,BURNHAM,GEORGIOU,"And your life, Captain. Yours. Stand down, Commander Burnham. That's an order."
1,1,GEORGIOU,BURNHAM,"Stand down, Commander Burnham. That's an order. You're right. I may not be myself."
1,1,BURNHAM,GEORGIOU,"You're right. I may not be myself. Easy, Michael."
1,1,GEORGIOU,BURNHAM,"Easy, Michael. I'm sorry."
1,1,BURNHAM,GEORGIOU,Fire! Belay that order!
1,1,GEORGIOU,BURNHAM,"Belay that order! Captain, please. I'm trying to save you. I'm trying to save all of you."
1,1,BURNHAM,GEORGIOU,"Captain, please. I'm trying to save you. I'm trying to save all of you. Stand down."
1,1,GEORGIOU,BURNHAM,Is it Starfleet? No. Those ships are Klingon.
1,2,GEORGIOU,BURNHAM,"Hello, Michael. Welcome to the USS Shenzhou. And congratulations on your recent commencement. Respect is earned, as is friendliness."
1,2,BURNHAM,GEORGIOU,"This is hardly a negotiation. First contact, then. The only human to attend the Vulcan Learning Centre and Science Academy rejoins her own kind. You can see my analogy, more or less."
1,2,GEORGIOU,BURNHAM,"First contact, then. The only human to attend the Vulcan Learning Centre and Science Academy rejoins her own kind. You can see my analogy, more or less. Less."
1,2,BURNHAM,GEORGIOU,"On Vulcan, lateral vector transporter technology has been discarded due to the massive amount of power it requires. Starfleet has phased out that design as well. Shenzhou is old, but she gets us where we need to go."
1,2,GEORGIOU,BURNHAM,Is this vessel not up to your standards? I have no standards when it comes to this ship. It was always my intention to join the Vulcan Expeditionary Group.
1,2,BURNHAM,GEORGIOU,I have no standards when it comes to this ship. It was always my intention to join the Vulcan Expeditionary Group. Sometimes the universe allows for the making of unexpected memories.
1,2,GEORGIOU,BURNHAM,Sometimes the universe allows for the making of unexpected memories. Emotional platitudes are not what I was hoping for.
1,2,BURNHAM,GEORGIOU,"Emotional platitudes are not what I was hoping for. Well, you've really been away from humans for a long time."
1,2,GEORGIOU,BURNHAM,"I'd say you're too confident for your own good, but I've seen your record. As I have seen yours."
1,2,BURNHAM,GEORGIOU,As I have seen yours. And your confidence is justified.
1,2,GEORGIOU,BURNHAM,And your confidence is justified. As is yours.
1,2,BURNHAM,GEORGIOU,As is yours. Ready to see your new home?
1,2,GEORGIOU,BURNHAM,"Not too shabby, huh? It appears to be functional."
1,2,BURNHAM,GEORGIOU,"It appears to be functional. I understand your hesitation, Michael. It's hard leaving Vulcan and everything you've known behind. But I assure you, this can be your new home, if you want it to be."
1,2,GEORGIOU,BURNHAM,"I understand your hesitation, Michael. It's hard leaving Vulcan and everything you've known behind. But I assure you, this can be your new home, if you want it to be. Thank you Captain."
1,2,BURNHAM,GEORGIOU,Thank you Captain. How many Klingon vessels have entered the system?
1,2,GEORGIOU,BURNHAM,"How many Klingon vessels have entered the system? The Klingon High Council consists of 24 houses. That can't be a coincidence. The number of ships. It suggests that someone is attempting to unify the Empire again, against us."
1,2,BURNHAM,GEORGIOU,"The Klingon High Council consists of 24 houses. That can't be a coincidence. The number of ships. It suggests that someone is attempting to unify the Empire again, against us. Commander Burnham, you have endangered your vessel and your shipmates. You have attacked a superior officer. You violated the chain of command. You are relieved of duty. Security, remand her to the brig."
1,2,GEORGIOU,DENNAS,"Commander Burnham, you have endangered your vessel and your shipmates. You have attacked a superior officer. You violated the chain of command. You are relieved of duty. Security, remand her to the brig. What threat to the Empire spreads across the stars?"
1,2,DENNAS,GEORGIOU,How do you propose to unite us? Where is the admiral?
1,2,GEORGIOU,DETMER,"Detmer, make your heading 219 mark 6. Aye, Captain."
1,2,DETMER,GEORGIOU,"Aye, Captain. Mister Gant."
1,2,GEORGIOU,BURNHAM,"Fire. Computer, how badly have we been hit?"
1,2,BURNHAM,COMPUTER,"Computer, how badly have we been hit? You have been confined to the brig. Query denied."
1,2,COMPUTER,BURNHAM,You have been confined to the brig. Query denied. Who's there?
1,2,BURNHAM,COMPUTER,"Connor, you took a blow to the head. Activate that comm panel and call Doctor Nambue. Major hull breach. Major hull breach. Deck one, deck three, deck six, deck seven, deck eight, deck nine."
1,2,COMPUTER,GEORGIOU,"Major hull breach. Major hull breach. Deck one, deck three, deck six, deck seven, deck eight, deck nine. Status."
1,2,GEORGIOU,COMPUTER,The brig. Shield at fifteen percent. Diverting main power from compromised decks to the bridge. Containment field failure is imminent. All repair personnel evacuate immediately.
1,2,COMPUTER,BURNHAM,Shield at fifteen percent. Diverting main power from compromised decks to the bridge. Containment field failure is imminent. All repair personnel evacuate immediately. Sarek? How is it possible? A mind-meld across a thousand light years?
1,2,BURNHAM,GEORGIOU,You were never one to bolster my self-esteem. Divert all power from nonessential systems to aft shields.
1,2,GEORGIOU,DETMER,"Ops. They're still coming. Right behind us, weapons hot. The Klingon warship peeled off. Why didn't they finish us?"
1,2,DETMER,GEORGIOU,"They're still coming. Right behind us, weapons hot. The Klingon warship peeled off. Why didn't they finish us? Fire reverse thrusters."
1,2,GEORGIOU,DETMER,"Fire reverse thrusters. They're not responding, Captain!"
1,2,DETMER,GEORGIOU,"They're not responding, Captain! All hands, this is the Captain. Prepare to evacuate."
1,2,GEORGIOU,L'RELL,They're going to self-destruct. T'Kuvma the Unforgettable!
1,2,L'RELL,GEORGIOU,T'Kuvma the Unforgettable! All but one.
1,2,GEORGIOU,BURNHAM,"All but one. Computer, implement steps of brig emergency evacuation protocol."
1,2,BURNHAM,COMPUTER,"Computer, implement steps of brig emergency evacuation protocol. Denied. Ethical protocols state prisoner evacuation to occur in life-saving circumstances only."
1,2,COMPUTER,BURNHAM,Denied. Ethical protocols state prisoner evacuation to occur in life-saving circumstances only. This is a life-saving circumstance. I'm going to die in here unless you let me out.
1,2,BURNHAM,COMPUTER,This is a life-saving circumstance. I'm going to die in here unless you let me out. Speculation. Request to engage ethical protocols denied.
1,2,COMPUTER,BURNHAM,Speculation. Request to engage ethical protocols denied. How long before my cell's containment field fails?
1,2,BURNHAM,COMPUTER,How long before my cell's containment field fails? Approximately eight minutes.
1,2,COMPUTER,BURNHAM,Confirmed. Is the corridor outside the brig undamaged and still pressurised?
